GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"35001000107","Census Tract 1.07, Bernalillo County, New Mexico",B01003_001,2489,296,3541.82950871509,3396.33386370311,55.1394589254633,53.0728287881957,32.2763296331686,5.00702766515315,0,0,53.0799463085599,51.728160267717,30.7052270344678,4.35309088166794,0,0,0.0155680725991429,0.0149845803299125,0.00911289760101352,0.00141368398812895,0,0
"35001000108","Census Tract 1.08, Bernalillo County, New Mexico",B01003_001,2828,486,1441.36190559664,1182.00000013629,70.999061465147,99.9049699541565,85.659725215286,2.79814882576466,0,0,137.534409307646,193.902589257102,173.051742841429,4.75499911497179,0,0,0.049258316866476,0.0693128974522201,0.0594297135803848,0.00194132286617245,0,0
"35001000109","Census Tract 1.09, Bernalillo County, New Mexico",B01003_001,2321,324,1420.96808729913,1139.00000002235,79.2867068047635,132.631045407485,70.0503350645304,0,0,0,129.729218653134,220.687855374176,105.180705000919,0,0,0,0.0557976688663471,0.093338510972178,0.0492976131488476,0,0,0
"35001000110","Census Tract 1.10, Bernalillo County, New Mexico",B01003_001,3619,527,1437.58469438627,1182.99999996978,85.8850510139018,122.007668217644,46.6919751849491,0,0,0,215.801885707477,312.033230881014,110.842545045691,0,0,0,0.0597426025397186,0.0848698992790343,0.0324794604222485,0,0,0
"35001000111","Census Tract 1.11, Bernalillo County, New Mexico",B01003_001,3316,544,1488.94495003842,1255.00000007512,69.1406067120843,109.068220937334,52.5418956913054,3.19422662258148,0,0,153.805392343945,242.133097407987,116.01201428474,7.28808064630883,0,0,0.04643597247185,0.0732520170974213,0.035288004227389,0.00214529531296577,0,0
"35001000112","Census Tract 1.12, Bernalillo County, New Mexico",B01003_001,2073,355,2436.94424018518,2327.03278266532,34.5817477107048,42.7267936766148,29.8006960860221,2.80222004652023,0,0,43.6218856491514,53.6119833155992,35.0267853110392,4.28027120568355,0,0,0.0141906191945028,0.0175329385761276,0.0122287147956071,0.00114989091679311,0,0
"35001000113","Census Tract 1.13, Bernalillo County, New Mexico",B01003_001,3345,546,1490.73653077345,1252.00000004697,62.4781633259954,118.246990478365,55.6873391020172,2.32403782010078,0,0,144.610915928031,263.073547416559,116.542864195682,6.98441401197572,0,0,0.0419109359945579,0.0793211865660887,0.0373555876256178,0.00155898629444264,0,0
"35001000114","Census Tract 1.14, Bernalillo County, New Mexico",B01003_001,3505,616,1439.38560680379,1162.00000001304,91.754553558887,116.410406069597,69.220647162263,0,0,0,223.497884932828,274.914342718348,191.741766222082,0,0,0,0.0637456378090592,0.0808750660832932,0.0480904122113395,0,0,0
"35001000115","Census Tract 1.15, Bernalillo County, New Mexico",B01003_001,3236,485,1448.11767603163,1151.9999998936,83.9934363178909,133.981826168216,78.1424136519217,0,0,0,185.837339634002,300.334295335931,211.214152292558,0,0,0,0.0580018031048856,0.0925213664509473,0.0539613699530695,0,0,0
"35001000116","Census Tract 1.16, Bernalillo County, New Mexico",B01003_001,2896,318,1565.30494910545,1322.61934551215,58.3650060755317,107.318475777749,74.9721481436864,2.02997359633446,0,0,108.176156637559,199.830969776672,139.751759522418,3.64101354603089,0,0,0.0372866680763302,0.0685607464788763,0.0478961931261586,0.00129685502974648,0,0
