GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"30001000100","Census Tract 1, Beaverhead County, Montana",B01003_001,1247,180,12124201.5209612,12094072.6055316,11962.6246744211,12743.9823176518,2418.45927704871,2982.84916049731,17,4,1.17858207764688,1.31348009045621,0.204306451219016,0.25097767321726,0.00143036553487931,0.00033655659644219,0.000986673196889648,0.00105111930840304,0.000199473695060867,0.000246024379860426,1.40215419305009e-06,3.29918633658845e-07
"30001000200","Census Tract 2, Beaverhead County, Montana",B01003_001,3634,197,3884774.63010465,3865962.45853967,7675.89082882079,7337.81661253388,3057.07674782279,735.387375802057,5,1,41.0607113591495,34.1134391298198,21.8632754413461,3.28727316654219,0.0113977126717163,0.000466008374152406,0.00197589089707735,0.00188886545841559,0.000786937992266603,0.000189299881157391,1.2870759506235e-06,2.574151901247e-07
"30001000300","Census Tract 3, Beaverhead County, Montana",B01003_001,4573,102,27726.4973894319,25816.3527035929,692.682529090998,782.140481190234,314.279379056403,121.042296501335,0,0,171.6157013897,172.590732550724,62.9788163603527,42.8585144282422,0,0,0.0249826914435654,0.0282091340353849,0.0113349830900816,0.00436558194860455,0,0
"30003000100","Census Tract 1, Big Horn County, Montana",B01003_001,4419,166,2493124.73980057,2460621.88463051,15814.0687941956,12272.1361267001,2746.46671486339,1596.29237547482,59.8911588191986,14,914.709082844334,503.458262306568,48.3875729691007,29.8587610357681,0.915219136996939,0.234925126575658,0.00634307162483199,0.00492239153973573,0.00110161624527583,0.000640277780726893,2.40225279798834e-05,5.61544305284937e-06
"30003940400","Census Tract 9404, Big Horn County, Montana",B01003_001,1883,303,2673842.67034809,2663043.40935557,3981.89318804443,5213.30918759108,1505.05810556281,84.0005113269435,12,3,2.8041683066235,3.67136829294299,1.05990694374169,0.0591556730628594,0.00845075899587553,0.00211268974896888,0.00148920249953452,0.00194974418106372,0.00056288207315013,3.14156521842057e-05,4.48792299303002e-06,1.12198074825751e-06
"30003940500","Census Tract 9405, Big Horn County, Montana",B01003_001,1505,241,4318310.79946909,4311982.90960599,4136.66664723222,2173.41272009243,17.8104957712349,0,0,0,1.40275484417289,0.945152097794593,0.00789321973388034,0,0,0,0.000957936294844921,0.000503301596624227,4.12441266928368e-06,0,0,0
"30003940600","Census Tract 9406, Big Horn County, Montana",B01003_001,3325,376,1680345.24854679,1650751.35143758,13373.5756588098,10493.35923837,4520.75368571446,1119.09968512185,70.108841188252,17,43.5093157124422,34.5215969387823,13.8310532518985,4.53137669255955,0.317750181312955,0.0770481010778053,0.00795882612241482,0.00624476383495889,0.00269037192780718,0.00066599389981891,4.17228788243869e-05,1.01169685305458e-05
"30003940700","Census Tract 9407, Big Horn County, Montana",B01003_001,2170,235,3267851.44228624,3231257.05258794,18616.7561082646,12997.6917014738,4277.81747672579,601.124411827535,73,28,83.2422969721556,60.5110596718699,9.22358822572788,1.44274324378845,0.579749803688963,0.0107252847897674,0.0056969407688986,0.00397744265032454,0.00130906118355642,0.00018395096057579,2.2338836782901e-05,8.56832095782506e-06
"30005000100","Census Tract 1, Blaine County, Montana",B01003_001,1359,192,3466910.08334607,3430322.40056741,20430.8914864704,13075.2513114971,2472.68695168232,492.855175614357,93.1575513482094,22.8403020501137,8.00874001996483,5.12539007506497,0.969272777935164,0.193195141367343,0.0365169875302991,0.00895320897856873,0.00589311259747228,0.00377144229217437,0.000713225002159797,0.000142159780255587,2.68704838339213e-05,6.58808607694535e-06
"30005000200","Census Tract 2, Blaine County, Montana",B01003_001,2184,149,6167258.55878883,6135254.30830788,18872.5215962241,10469.2074018528,2135.40716524807,434.112171089277,69.8424486145377,23.159697920084,429.752217082607,289.111925178643,50.5116925613756,10.0751623857956,2.55228877289268,0.0032127284817314,0.0030601151899703,0.00169754637365306,0.000346249009165498,7.0389812094165e-05,1.1324715503456e-05,3.75526624987688e-06
"30005940100","Census Tract 9401, Blaine County, Montana",B01003_001,1629,217,979326.291857371,974945.947752697,1398.44638013442,2021.7433764562,960.12169495225,0.0326531305909157,0,0,2.32615949574725,3.36294449319942,1.59705529615762,5.43148388589863e-05,0,0,0.00142796776902839,0.002064422647759,0.000980389991502528,3.33424425162592e-08,0,0
"30005940200","Census Tract 9402, Blaine County, Montana",B01003_001,1526,202,1584439.14243451,1582260.54326032,676.656927242904,1477.40836868509,24.5338782668114,0,0,0,0.638870354840254,1.56920525888756,0.0270453548665664,0,0,0,0.000427064005881105,0.000932448794729369,1.54842667097423e-05,0,0,0
"30007000100","Census Tract 1, Broadwater County, Montana",B01003_001,2253,281,26140.613395571,20481.7769016149,3788.74241823601,1454.19994525112,363.894130573282,38.9999999552965,9,3.99999994039536,360.498534665299,139.943659687477,34.6144240658224,3.83785013652738,0.903209564482986,0.379531289517359,0.144937012797027,0.0556299090325669,0.0139206423761631,0.00149193132407154,0.000344291844411152,0.000153018595235913
"30007000200","Census Tract 2, Broadwater County, Montana",B01003_001,3827,281,3536914.71922879,3470640.33179299,35319.8086805781,22282.4109720663,7277.99219834511,1226.17558478856,142.000000040745,25.9999999776483,54.3374713411093,30.6546984394945,11.035755847052,1.7665751464993,0.146450326890278,0.033702628001584,0.00998605040957264,0.00629995709280909,0.00205772340474527,0.000346679431687265,4.01479852677104e-05,7.35103954763079e-06
"30009000100","Census Tract 1, Carbon County, Montana",B01003_001,2806,247,568706.138925966,558530.901029025,4302.18782356067,3736.07288224441,1961.57840912144,164.398782014847,10,1,41.8812236889277,44.6072005237432,25.1630136131086,1.19449909203315,0.0726586339262097,0.00726586339262097,0.00756486967361668,0.0065694259768326,0.00344919506729081,0.000289075096543398,1.75837736144111e-05,1.75837736144111e-06
"30009000200","Census Tract 2, Carbon County, Montana",B01003_001,1998,198,422667.169147388,416585.324305066,2384.71382372841,1976.72498982235,1559.63279418362,150.773234586697,9,1,20.0960365602635,21.2122531234038,17.5332485942692,1.86850154629085,0.0210650952368076,0.00234056613742307,0.00564206069882101,0.00467678858003057,0.00368997856476466,0.000356718585195154,2.12933500800523e-05,2.36592778667248e-06
"30009000300","Census Tract 3, Carbon County, Montana",B01003_001,2189,285,34462.4350407307,33761.0040837104,259.385154142168,400.915142693615,41.1306601845372,0,0,0,24.2540932865136,35.0269220947319,2.00974214234874,0,0,0,0.00752660552963261,0.0116333956732825,0.00119349257056054,0,0,0
