GEOID,NAME,variable,estimate,moe,coverage_all,coverage_na,coverage_4050,coverage_5060,coverage_6070,coverage_7080,coverage_8090,coverage_90,noise4050n,noise5060n,noise6070n,noise7080n,noise8090n,noise90n,noise4050p,noise5060p,noise6070p,noise7080p,noise8090p,noise90p
"18001030100","Census Tract 301, Adams County, Indiana",B01003_001,4975,403,223862.636935001,218219.091894557,1837.73646627556,2745.45757132624,964.91289734867,83.438105493784,10,2,43.7589901842108,65.2064813850572,23.2159920725928,2.15663016423749,0.266282862081444,0.0532565724162888,0.00820921477311622,0.0122640276596196,0.00431029005357797,0.000372720104775726,4.46702501896443e-05,8.93405003792886e-06
"18001030200","Census Tract 302, Adams County, Indiana",B01003_001,4823,518,27193.1625509383,25045.4175945114,953.189553144708,900.833523823241,288.200281732109,5.51089252403472,0.0107052028179169,0,248.287808454278,216.837308158329,96.9190074726217,1.5535084147949,0.00116483422131582,0,0.0350525449682137,0.0331272069637284,0.0105982627505077,0.000202657286136238,3.93672593169841e-07,0
"18001030300","Census Tract 303, Adams County, Indiana",B01003_001,5352,491,27480.0783286678,25314.9593323397,888.511427846737,786.608619740295,444.081913280592,44.9277406334877,0.989294826984406,0,346.028828202902,267.604020567281,97.1110971497883,12.729242532203,0.284134606902019,0,0.0323329292304026,0.0286246862302313,0.0161601400101293,0.00163492039928496,3.60004369402525e-05,0
"18001030400","Census Tract 304, Adams County, Indiana",B01003_001,3968,514,208024.592624535,203196.14096841,1770.83305984351,2197.75073862142,826.062896866677,33.8049607928842,0,0,34.4408296191408,46.9407674142903,16.7288092913179,0.673260944229946,0,0,0.00851261400155559,0.0105648601970256,0.00397098673019706,0.000162504636429689,0,0
"18001030500","Census Tract 305, Adams County, Indiana",B01003_001,6655,591,242026.913322575,237847.741308313,1323.12167266066,1844.59575466524,992.259547704758,19.1950392313302,0,0,54.2313124079319,76.996909434759,39.64435517284,1.82055500593464,0,0,0.00546683695005932,0.00762144890972003,0.00409979011872233,7.93095237542732e-05,0,0
"18001030600","Census Tract 306, Adams County, Indiana",B01003_001,3337,394,10219.1373457374,9639.85203446729,201.8569624214,244.432346594995,132.99600225376,0,0,0,88.6383205200784,96.5579021250288,52.3249168838931,0,0,0,0.0197528377975659,0.0239190783258189,0.0130144059869432,0,0,0
"18001030700","Census Tract 307, Adams County, Indiana",B01003_001,6434,399,239664.592392427,236568.774293209,1202.36103792222,1334.02658726116,557.554815149691,1.87565888464451,0,0,46.2304316052198,44.0981192203612,29.721722878847,0.180077426052755,0,0,0.00501684886332091,0.00556622308679135,0.00232639627566158,7.8261826910723e-06,0,0
"18003000100","Census Tract 1, Allen County, Indiana",B01003_001,2710,385,2106.79475616757,1832.18598317803,140.881994911644,132.539229798135,1.18754827976227,0,0,0,181.143814779213,170.761649556492,1.49470094290669,0,0,0,0.0668702988267921,0.06291036628515,0.000563675353892808,0,0,0
"18003000300","Census Tract 3, Allen County, Indiana",B01003_001,3494,640,1466.76608101628,1038.12268100443,254.78630179177,172.202359659757,1.65473856031895,0,0,0,623.646994464591,407.865583608119,4.24662822017103,0,0,0,0.173706158800206,0.117402741915359,0.00112815436744517,0,0,0
"18003000400","Census Tract 4, Allen County, Indiana",B01003_001,2907,383,3476.86103753733,98.0332490248547,2846.76953743279,524.37355838632,7.15065020830662,0.534042485058308,0,0,2010.15809755917,832.683891010411,1.64800942887128,0.101813785932956,0,0,0.818775759714908,0.150818095036014,0.00205663963302124,0.000153599030646497,0,0
